Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2018-06-13,2.0,Edinburgh,"Grange Cricket Club, Raeburn Place",2018,"Pakistan tour of Ireland, England and Scotland",T20,20,"Pakistan, Scotland",Pakistan,Scotland,international,Pakistan,bat,Pakistan,,84.0,,Usman Shinwari
2018-02-15,1.0,Dhaka,"Shere Bangla National Stadium, Mirpur",2017,Sri Lanka tour of Bangladesh,T20,20,"Bangladesh, Sri Lanka",Bangladesh,Sri Lanka,international,Bangladesh,bat,Sri Lanka,,,6.0,BKG Mendis
2018-02-18,2.0,,Sylhet International Cricket Stadium,2017,Sri Lanka tour of Bangladesh,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Sri Lanka,,75.0,,BKG Mendis
2018-03-22,1.0,Mumbai,Brabourne Stadium,2017,India Tri-Nation Women's T20 Series,T20,20,"India, Australia",India,Australia,international,Australia,field,Australia,,,6.0,A Gardner
2018-03-23,2.0,Mumbai,Brabourne Stadium,2017,India Tri-Nation Women's T20 Series,T20,20,"Australia, England",Australia,England,international,England,field,England,,,8.0,NR Sciver
2018-03-25,3.0,Mumbai,Brabourne Stadium,2017,India Tri-Nation Women's T20 Series,T20,20,"India, England",India,England,international,England,field,England,,,7.0,DN Wyatt
2018-03-26,4.0,Mumbai,Brabourne Stadium,2017,India Tri-Nation Women's T20 Series,T20,20,"Australia, India",Australia,India,international,India,field,Australia,,36.0,,ML Schutt
2018-03-28,5.0,Mumbai,Brabourne Stadium,2017,India Tri-Nation Women's T20 Series,T20,20,"England, Australia",England,Australia,international,Australia,field,Australia,,,8.0,EA Perry
2018-03-29,6.0,Mumbai,Brabourne Stadium,2017,India Tri-Nation Women's T20 Series,T20,20,"England, India",England,India,international,England,bat,India,,,8.0,AA Patil
2018-03-31,,Mumbai,Brabourne Stadium,2017,India Tri-Nation Women's T20 Series,T20,20,"Australia, England",Australia,England,international,England,field,Australia,,57.0,,MM Lanning
2018-03-06,1.0,Colombo,"R.Premadasa Stadium, Khettarama",2017,Nidahas Trophy,T20,20,"India, Sri Lanka",India,Sri Lanka,international,Sri Lanka,field,Sri Lanka,,,5.0,MDKJ Perera
2018-03-08,2.0,Colombo,"R.Premadasa Stadium, Khettarama",2017,Nidahas Trophy,T20,20,"Bangladesh, India",Bangladesh,India,international,India,field,India,,,6.0,V Shankar
